    ocorrencia_id,fração_origem,tipo,descricao_completa,data_ocorrencia,gravidade,resolvido,acao_tomada
OC00001,FR1553,Ruído,Cão do apartamento 4D ladra constantemente durante o dia quando os proprietários estão ausentes.,2025-03-02 16:43,2,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00002,FR2061,Estacionamento,"Carro abandonado na garagem há meses, ocupando lugar e vertendo óleo.",2025-07-19 16:43,4,False,A resolver
OC00003,FR1653,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2024-08-09 16:43,4,False,em analise
OC00004,FR1001,Vandalismo,Grafittis na entrada do bloco norte. Necessária limpeza e eventual instalação de câmaras.,2024-11-10 16:43,4,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00005,FR0403,Ruído,"Barulho excessivo proveniente do apartamento 5E durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2025-05-15 16:43,4,False,Pendente
OC00006,FR0160,Estacionamento,Veículo estacionado no meu lugar de garagem (lugar 38). Já aconteceu várias vezes.,2025-03-30 16:43,3,False,em analise
OC00007,FR1533,Vandalismo,Caixas de correio arrombadas durante a noite. Vários moradores afetados.,2025-03-23 16:43,4,False,em analise
OC00008,FR0108,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025-08-30 16:43,4,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00009,FR1301,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2025-03-13 16:43,3,False,Pendente
OC00010,FR2054,Ruído,Cão do apartamento 2B ladra constantemente durante o dia quando os proprietários estão ausentes.,2025-08-17 16:43,3,False,A resolver
OC00011,FR1976,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025-07-28 16:43,3,False,A resolver
OC00012,FR1387,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 1A. Já causou danos na pintura e no rodapé.",2024-03-21 16:43,4,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00013,FR0338,Ruído,Obras não autorizadas no apartamento 5E fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2025-07-18 16:43,2,False,Em análise pela administração
OC00014,FR1461,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 4D. Já causou danos na pintura e no rodapé.",2024-09-15 16:43,5,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00015,FR1924,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2025-08-10 16:43,2,False,Em análise pela administração
OC00016,FR0173,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-05-31 16:43,4,False,Pendente
OC00017,FR0507,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2025-07-15 16:43,2,False,em analise
OC00018,FR1381,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2024-07-29 16:43,2,False,Em análise pela administração
OC00019,FR1968,Limpeza,Lixo acumulado no patamar do 3º andar há vários dias. Cheiro nauseabundo.,2025-09-09 16:43,3,False,em analise
OC00020,FR1244,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-06-15 16:43,1,False,
OC00021,FR2336,SEGURANÇA,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2024-07-07 16:43,4,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00022,FR1942,Ruído,"Barulho excessivo proveniente do apartamento 4D durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2025-05-27 16:43,4,False,Pendente
